organism,log_abundance,time,log_sigma,,,,,,
N,10.273169685027614,3,0.6,,,,,,
N,10.30875330744143,4,0.6,,,,,,
N,9.907615022799368,5,0.6,,,,,,
N,9.577167210611142,6,0.6,,,,,,
N,9.368779841781793,7,0.6,,,,,,
N,8.041824798,8,0.6,,,,,,
N,7.186174584154733,9,0.6,,,,,,
N,8.006340900628018,10,0.6,,,,,,
N,8.131995308544266,11,0.6,,,,,,
N,10.273169685027614,15,0.6,,,,,,
N,10.30875330744143,16,0.6,,,,,,
N,9.907615022799368,17,0.6,,,,,,
N,9.577167210611142,18,0.6,,,,,,
N,9.368779841781793,19,0.6,,,,,,
N,8.041824798,20,0.6,,,,,,
N,7.186174584154733,21,0.6,,,,,,
N,8.006340900628018,22,0.6,,,,,,
N,8.131995308544266,23,0.6,,,,,,
N,10.273169685027614,27,0.6,,,,,,
N,10.30875330744143,28,0.6,,,,,,
N,9.907615022799368,29,0.6,,,,,,
N,9.577167210611142,30,0.6,,,,,,
N,9.368779841781793,31,0.6,,,,,,
N,8.041824798,32,0.6,,,,,,
N,7.186174584154733,33,0.6,,,,,,
N,8.006340900628018,34,0.6,,,,,,
N,8.131995308544266,35,0.6,,,,,,
P,6.988367055474525,3,0.6,,,,,,
P,7.052012320634882,4,0.6,,,,,,
P,5.931992900984548,5,0.6,,,,,,
P,6.225716669147606,6,0.6,,,,,,
P,5.485859853867768,7,0.6,,,,,,
P,5.3223587915520305,8,0.6,,,,,,
P,5.753444005107488,9,0.6,,,,,,
P,6.172793934781564,10,0.6,,,,,,
P,6.625961436826808,11,0.6,,,,,,
P,6.988367055474525,15,0.6,,,,,,
P,7.052012320634882,16,0.6,,,,,,
P,5.931992900984548,17,0.6,,,,,,
P,6.225716669147606,18,0.6,,,,,,
P,5.485859853867768,19,0.6,,,,,,
P,5.3223587915520305,20,0.6,,,,,,
P,5.753444005107488,21,0.6,,,,,,
P,6.172793934781564,22,0.6,,,,,,
P,6.625961436826808,23,0.6,,,,,,
P,6.988367055474525,27,0.6,,,,,,
P,7.052012320634882,28,0.6,,,,,,
P,5.931992900984548,29,0.6,,,,,,
P,6.225716669147606,30,0.6,,,,,,
P,5.485859853867768,31,0.6,,,,,,
P,5.3223587915520305,32,0.6,,,,,,
P,5.753444005107488,33,0.6,,,,,,
P,6.172793934781564,34,0.6,,,,,,
P,6.625961436826808,35,0.6,,,,,,
P1,0.7168811456412817,3,0.6,,,,,,
P1,1.117714390541596,4,0.6,,,,,,
P1,1.0696247517948572,5,0.6,,,,,,
P1,1.4811580126738846,6,0.6,,,,,,
P1,1.8673968834336747,7,0.6,,,,,,
P1,2.830815513573892,8,0.6,,,,,,
P1,2.642724068292678,9,0.6,,,,,,
P1,1.692465172884855,10,0.6,,,,,,
P1,1.3602895039845624,11,0.6,,,,,,
P1,0.7168811456412817,15,0.6,,,,,,
P1,1.117714390541596,16,0.6,,,,,,
P1,1.0696247517948572,17,0.6,,,,,,
P1,1.4811580126738846,18,0.6,,,,,,
P1,1.8673968834336747,19,0.6,,,,,,
P1,2.830815513573892,20,0.6,,,,,,
P1,2.642724068292678,21,0.6,,,,,,
P1,1.692465172884855,22,0.6,,,,,,
P1,1.3602895039845624,23,0.6,,,,,,
P1,0.7168811456412817,27,0.6,,,,,,
P1,1.117714390541596,28,0.6,,,,,,
P1,1.0696247517948572,29,0.6,,,,,,
P1,1.4811580126738846,30,0.6,,,,,,
P1,1.8673968834336747,31,0.6,,,,,,
P1,2.830815513573892,32,0.6,,,,,,
P1,2.642724068292678,33,0.6,,,,,,
P1,1.692465172884855,34,0.6,,,,,,
P1,1.3602895039845624,35,0.6,,,,,,
P2,-4.11966237,3,0.6,,,,,,
P2,-3.352407217,4,0.6,,,,,,
P2,-2.813410717,5,0.6,,,,,,
P2,-2.607074284,6,0.6,,,,,,
P2,-0.861565832,7,0.6,,,,,,
P2,1.2960960932017418,8,0.6,,,,,,
P2,1.247032293786383,9,0.6,,,,,,
P2,-1.757358043,10,0.6,,,,,,
P2,-4.199705078,11,0.6,,,,,,
P2,-4.11966237,15,0.6,,,,,,
P2,-3.352407217,16,0.6,,,,,,
P2,-2.813410717,17,0.6,,,,,,
P2,-2.607074284,18,0.6,,,,,,
P2,-0.861565832,19,0.6,,,,,,
P2,1.2960960932017418,20,0.6,,,,,,
P2,1.247032293786383,21,0.6,,,,,,
P2,-1.757358043,22,0.6,,,,,,
P2,-4.199705078,23,0.6,,,,,,
P2,-4.11966237,27,0.6,,,,,,
P2,-3.352407217,28,0.6,,,,,,
P2,-2.813410717,29,0.6,,,,,,
P2,-2.607074284,30,0.6,,,,,,
P2,-0.861565832,31,0.6,,,,,,
P2,1.2960960932017418,32,0.6,,,,,,
P2,1.247032293786383,33,0.6,,,,,,
P2,-1.757358043,34,0.6,,,,,,
P2,-4.199705078,35,0.6,,,,,,
Z,-2.904534459,3,0.6,,,,,,
Z,-2.083193864,4,0.6,,,,,,
Z,-0.106709144,8,0.6,,,,,,
Z,-2.904534459,15,0.6,,,,,,
Z,-2.083193864,16,0.6,,,,,,
Z,-0.106709144,20,0.6,,,,,,
Z,-2.904534459,27,0.6,,,,,,
Z,-2.083193864,28,0.6,,,,,,
Z,-0.106709144,32,0.6,,,,,,